time,reference.q_ref,sensor_ref.U_q,sensor_state.U_q,pid.I_out,pid.u,drive.torque,pendulum.alpha,pendulum.omega,pendulum.q,pendulum.wall_hit
s,rad,V,V,-,-,m·N,rad/s²,rad/s,rad,-
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0,False
0.0,0.0,1.4941176470588236,1.4941176470588236,0.0,0.0,-0.0,0.0,0.0,0.0,False
0.001,0.0005483111301320963,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,False
0.002,0.001096620907360985,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,-0.0,0.0,0.0,False
0.003,0.0016449279787867964,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,-0.0,0.0,0.0,False
0.004,0.002193230991516338,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,False
0.005,0.0027415285926664303,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,False
0.006,0.0032898194293672473,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,False
0.007,0.0038381021487656542,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,False
0.008,0.004386375398028544,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,False
0.009000000000000001,0.004934637824346175,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,False
0.010000000000000002,0.005482888074935513,1.4941176470588236,1.4941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,False
0.011000000000000003,0.0060311247970435645,1.5058823529411764,1.4941176470588236,5.882352941176455e-05,1.0,115.57525070383126,0.0,0.0,0.0,False
0.012000000000000004,0.006579346637950715,1.5058823529411764,1.4941176470588236,0.0001176470588235291,1.0,148.66308681447364,0.0,0.0,0.0,False
0.013000000000000005,0.00712755224497407,1.5058823529411764,1.4941176470588236,0.00017647058823529367,0.9770588235294081,155.38941854295953,0.0,0.0,0.0,False
0.014000000000000005,0.007675740265470789,1.5058823529411764,1.4941176470588236,0.0002352941176470582,0.891882352941173,147.3504160367842,0.0,0.0,0.0,False
0.015000000000000006,0.008223909346841425,1.5058823529411764,1.4941176470588236,0.00029411764705882274,0.8152823529411732,136.06962271374778,0.0,0.0,0.0,False
0.016000000000000007,0.008772058136533267,1.5058823529411764,1.4941176470588236,0.0003529411764705873,0.7464011764705852,124.75932144411166,0.0,0.0,0.0,False
0.017000000000000008,0.009320185282043657,1.5058823529411764,1.4941176470588236,0.0004117647058823518,0.6844669411764679,114.2619563351452,0.0,0.0,0.0,False
0.01800000000000001,0.009868289430923357,1.5058823529411764,1.4941176470588236,0.00047058823529411636,0.6287849529411739,104.71012994678127,0.0,0.0,0.0,False
0.01900000000000001,0.010416369230779864,1.5058823529411764,1.4941176470588236,0.0005294117647058809,0.5787299870588212,96.10109236021155,0.0,0.0,0.0,False
0.02000000000000001,0.010964423329280755,1.5058823529411764,1.4941176470588236,0.0005882352941176455,0.5337393412941154,88.35227424800549,0.0,0.0,0.0,False
0.02100000000000001,0.011512450374157022,1.5058823529411764,1.4941176470588236,0.0006470588235294101,0.49330658363529206,81.37846400167192,0.0,0.0,0.0,False
0.022000000000000013,0.012060449013206413,1.5058823529411764,1.4941176470588236,0.0007058823529411747,0.45697592527176284,75.11479270869732,0.0,0.0,0.0,False
0.023000000000000013,0.012608417894296753,1.5058823529411764,1.4941176470588236,0.0007647058823529393,0.4243371562739983,69.47952252371202,0.0,0.0,0.0,False
0.024000000000000014,0.013156355665369306,1.5058823529411764,1.4941176470588236,0.0008235294117647039,0.3950210877054219,64.41724449318568,0.0,0.0,0.0,False
0.025000000000000015,0.013704260974442089,1.5058823529411764,1.4941176470588236,0.0008823529411764685,0.36869544952311484,59.871198584062924,6.114978815578373,0.0,0.0,False
0.026000000000000016,0.014252132469613219,1.5058823529411764,1.4941176470588236,0.000941176470588233,0.3450611986884504,55.78358170558812,6.114938008818268,0.006114962673003492,3.11345262866435e-06,False
0.027000000000000017,0.01479996879906424,1.5058823529411764,1.4941176470588236,0.0009999999999999976,0.32384919646666405,52.11458983551364,7.865584584428076,0.006114962673003492,3.11345262866435e-06,False
0.028000000000000018,0.015347768611063475,1.5058823529411764,1.4941176470588236,0.0010588235294117622,0.3048172179964681,48.81783151930138,7.865440005486556,0.013980461644248912,1.4144460343895438e-05,False
0.02900000000000002,0.015895530553969337,1.5058823529411764,1.4941176470588236,0.0011176470588235268,0.2877472609027037,45.85915509729656,8.22132394928734,0.013980461644248912,1.4144460343895438e-05,False
0.03000000000000002,0.016443253276233687,1.5058823529411764,1.4941176470588236,0.0011764705882352914,0.27244312304772744,43.20357918147884,8.221073360591635,0.02220163385113014,3.32637442955142e-05,False
0.03100000000000002,0.01699093542640515,1.5176470588235293,1.4941176470588236,0.0012941176470588206,1.0,126.49356194122196,7.795737229159701,0.02220163385113014,3.32637442955142e-05,False
0.03200000000000002,0.01753857565313247,1.5176470588235293,1.4941176470588236,0.0014117647058823498,1.0,150.30367724104573,7.795382383172897,0.02999715402616767,6.033759600032231e-05,False
0.03300000000000002,0.018086172605167823,1.5176470588235293,1.4941176470588236,0.001529411764705879,1.0,157.01674543844314,7.198526120493824,0.02999715402616767,6.033759600032231e-05,False
0.03400000000000002,0.018633724931370166,1.5176470588235293,1.4941176470588236,0.0016470588235294082,1.0,158.81638990480346,7.1980739945301,0.03719540204757997,9.483366407682492e-05,False
0.035000000000000024,0.019181231280708564,1.5176470588235293,1.4941176470588236,0.0017647058823529373,1.0,159.20477375504072,6.59965649389351,0.03719540204757997,9.483366407682492e-05,False
0.036000000000000025,0.019728690302265532,1.5176470588235293,1.4941176470588236,0.0018823529411764665,0.9553550810497219,154.0285811507697,6.599114916219975,0.04379472419300367,0.0001361546716338792,False
0.037000000000000026,0.020276100645240346,1.5176470588235293,1.4941176470588236,0.0019999999999999957,0.8864078082388671,144.44997816836604,6.043709110307295,0.04379472419300367,0.0001361546716338792,False
0.03800000000000003,0.020823460958952406,1.5176470588235293,1.4941176470588236,0.002117647058823525,0.8244729097679216,134.42231399201765,6.043085566636193,0.04983804724822455,0.00018372947791386708,False
0.03900000000000003,0.021370769892844546,1.5176470588235293,1.4941176470588236,0.002235294117647054,0.7688491482028941,125.01066149600237,5.537707333327358,0.04983804724822455,0.00018372947791386708,False
0.04000000000000003,0.021918026096486385,1.5176470588235293,1.4941176470588236,0.0023529411764705833,0.7189054098531926,116.43125792634682,5.5370086915282375,0.0553753209317068,0.00023703408207221142,False
0.04100000000000003,0.022465228219577638,1.5176470588235293,1.4941176470588236,0.0024705882352941124,0.6740736923972851,108.6927662930171,5.081512535181621,0.0553753209317068,0.00023703408207221142,False
0.04200000000000003,0.023012374911951457,1.5176470588235293,1.4941176470588236,0.0025882352941176416,0.6338427937457916,101.732358088323,5.0807450120964965,0.0604563558886018,0.0002955941551065777,False
0.04300000000000003,0.023559464823577778,1.5176470588235293,1.4941176470588236,0.002705882352941171,0.5977526320182712,95.48381392293206,4.670762266540234,0.0604563558886018,0.0002955941551065777,False
0.04400000000000003,0.02410649660456662,1.5176470588235293,1.4941176470588236,0.0028235294117647,0.5653891335223266,89.872819183983,4.669931464075388,0.06512659989614313,0.0003589822861519276,False
0.04500000000000003,0.024653468905171453,1.5176470588235293,1.4941176470588236,0.002941176470588229,0.5363796319347998,84.83292279617969,4.300953662508919,0.06512659989614313,0.0003589822861519276,False
0.046000000000000034,0.025200380375792485,1.5176470588235293,1.4941176470588236,0.0030588235294117584,0.5103887275648492,80.3167492412499,4.300064625719458,0.0694269974916759,0.0004268135507807382,False
0.047000000000000035,0.025747229666980044,1.5176470588235293,1.4941176470588236,0.0031764705882352876,0.48711456069071707,76.26569515594292,3.968659614429993,0.0694269974916759,0.0004268135507807382,False
